"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.933207748","2603:1026:c0d:1005::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","UDP","93","443  >  35648 Len=31"
"7","1.672699490","2a00:1450:4001:82a::200e","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","125","Application Data"
"14","3.800118592","2a06:98c1:3107::6812:2715","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","114","Application Data"
"19","5.941055717","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"20","6.367896768","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","60746  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360886489 TSecr=1323322545"
"21","6.367932986","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","60754  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360886489 TSecr=567638018"
"22","6.554722420","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP ACKed unseen segment] 80  >  60754 [ACK] Seq=1 Ack=2 Win=1054 Len=0 TSval=567648313 TSecr=2360865911"
"23","6.554722449","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP ACKed unseen segment] 80  >  60746 [ACK] Seq=1 Ack=2 Win=1053 Len=0 TSval=1323332831 TSecr=2360866009"
"24","6.867249164","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"28","7.989949132","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"39","11.554623420","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1026:c0d:1005::2","UDP","97","35648  >  443 Len=35"
"40","11.554678204","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1026:c0d:1005::2","UDP","97","35648  >  443 Len=35"
"41","11.623706840","2603:1026:c0d:1005::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","96","443  >  35648 Len=34"
"42","12.000910850","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","[TCP Spurious Retransmission] , Application Data"
"47","13.535895529","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:4001:82a::200e","TLSv1.2","188","Application Data, Application Data, Application Data"
"48","13.535927657","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","Application Data"
"51","14.338346731","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.2","110","Application Data"
"52","14.338390090","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TCP","86","50788  >  443 [ACK] Seq=1 Ack=25 Win=63 Len=0 TSval=413463094 TSecr=1100046789"
"53","14.338549862","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TLSv1.2","114","Application Data"
"54","14.396839193","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","110","[TCP Spurious Retransmission] 443  >  50788 [PSH, ACK] Seq=1 Ack=1 Win=16 Len=24 TSval=1100047050 TSecr=413443054"
"55","14.396888747","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TCP","98","[TCP Dup ACK 52#1] 50788  >  443 [ACK] Seq=29 Ack=25 Win=63 Len=0 TSval=413463153 TSecr=1100047050 SLE=1 SRE=25"
"56","14.437824770","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  50788 [ACK] Seq=25 Ack=29 Win=16 Len=0 TSval=1100047089 TSecr=413463094"
"59","15.583907328","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:4001:82a::200e","TLSv1.2","188","[TCP Spurious Retransmission] , Application Data, Application Data, Application Data"
