"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa43b"
"2","0.204113960","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"3","1.229221928","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"4","1.435179718","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"5","1.435196577","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa43b"
"6","2.457563639","0.0.0.0","255.255.255.255","DHCP","318","DHCP Discover - Transaction ID 0xa900d4ac"
"7","2.776234704","0.0.0.0","255.255.255.255","DHCP","329","DHCP Discover - Transaction ID 0x74640844"
"8","3.276379589","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"9","3.482095739","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"10","4.300653576","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"11","5.239881071","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c0c::5e","TCP","86","57286  >  80 [ACK] Seq=1 Ack=1 Win=63 Len=0 TSval=3697028624 TSecr=4156068808"
"12","5.305404896","2a00:1450:400c:c0c::5e","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP ACKed unseen segment] 80  >  57286 [ACK] Seq=1 Ack=2 Win=1053 Len=0 TSval=4156079048 TSecr=3696987773"
"13","5.324732054","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"14","5.529104582","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"15","6.277780509","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"16","6.350683885","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x230c0b53"
"17","6.553895514","0.0.0.0","255.255.255.255","DHCP","326","DHCP Discover - Transaction ID 0xdacc3dce"
"18","6.903843705","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"19","7.172008690","2603:1026:c03:7074::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.2","127","Application Data"
"20","7.172063231","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1026:c03:7074::2","TCP","86","35718  >  443 [ACK] Seq=1 Ack=42 Win=57 Len=0 TSval=3711465769 TSecr=453739926"
"21","7.276822457","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","93","Standard query 0x2b7f AAAA ipv4only.arpa"
"22","7.276872054","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","91","Standard query 0x8d96 AAAA example.org"
"23","7.277878691","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","HTTP","408","GET /success.txt?ipv6 HTTP/1.1 "
"24","7.278983401","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","HTTP","391","GET /canonical.html HTTP/1.1 "
"25","7.283458854","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","176","Standard query response 0x2b7f AAAA ipv4only.arpa SOA sns.dns.icann.org"
"26","7.283470332","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","203","Standard query response 0x8d96 AAAA example.org AAAA 2600:1408:ec00:36::1736:7f2f AAAA 2600:1406:5e00:6::17ce:bc29 AAAA 2600:1408:ec00:36::1736:7f2e AAAA 2600:1406:5e00:6::17ce:bc3c"
"27","7.331814359","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","HTTP","302","HTTP/1.1 200 OK  (text/plain)"
"28","7.331815706","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","HTTP","384","HTTP/1.1 200 OK  (text/html)"
"29","7.331864470","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","40332  >  80 [ACK] Seq=323 Ack=217 Win=64 Len=0 TSval=2361011973 TSecr=1672114681"
"30","7.331882453","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","60754  >  80 [ACK] Seq=306 Ack=299 Win=64 Len=0 TSval=2361011973 TSecr=567773680"
"31","7.333516682","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","93","Standard query 0xbfac AAAA ipv4only.arpa"
"32","7.334335471","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","HTTP","408","GET /success.txt?ipv6 HTTP/1.1 "
"33","7.336109429","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","176","Standard query response 0xbfac AAAA ipv4only.arpa SOA sns.dns.icann.org"
"34","7.387939081","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","HTTP","302","HTTP/1.1 200 OK  (text/plain)"
"35","7.428852540","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","40332  >  80 [ACK] Seq=645 Ack=433 Win=64 Len=0 TSval=2361012070 TSecr=1672114739"
"36","7.475851185","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TLSv1.2","118","Application Data"
"37","7.517290575","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  50788 [ACK] Seq=1 Ack=33 Win=16 Len=0 TSval=1100164689 TSecr=413580752"
"38","7.556891990","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.2","114","Application Data"
"39","7.576952299","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"40","7.577746579","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
