"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","0.0.0.0","255.255.255.255","DHCP","326","DHCP Discover - Transaction ID 0x8931c7eb"
"2","0.000049466","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"3","0.206452801","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","110","Application Data"
"4","0.206675847","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","114","Application Data"
"5","0.245200322","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  52474 [ACK] Seq=25 Ack=29 Win=19 Len=0 TSval=2285664707 TSecr=1477190380"
"6","0.410065191","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"7","0.819130371","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daaccb"
"8","1.637960673","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"9","2.048128032","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daaccb"
"10","2.314650049","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","115","Standard query 0x7deb A uclouvain.be OPT"
"11","2.319546843","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","119","Standard query response 0x7deb A uclouvain.be A 130.104.254.195 OPT"
"12","2.457327727","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"13","2.661797952","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"14","3.480938606","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"15","3.686160060","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"16","4.097564274","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0xc8457a41"
"17","4.505512661","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"18","4.820450783","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","112","Standard query 0x1c86 A helios.pl OPT"
"19","4.825489417","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","116","Standard query response 0x1c86 A helios.pl A 80.252.5.32 OPT"
"20","5.528945199","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"21","6.553071402","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"22","6.553071918","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"23","6.970808278","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188c"
"24","7.584800588","fe80::9683:c4ff:fe22:da08","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","ICMPv6","86","Neighbor Solicitation for fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6 from 94:83:c4:22:da:08"
"25","7.584843554","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fe80::9683:c4ff:fe22:da08","ICMPv6","78","Neighbor Advertisement fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6 (sol)"
"26","7.584889913","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"27","7.584890078","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"28","7.782092328","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa435"
"29","8.601442416","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daaccb"
"30","8.601454833","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"31","9.592828038","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","115","Standard query 0x131f A starlink.com OPT"
"32","9.633815921","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","167","Standard query response 0x131f A starlink.com A 151.101.65.143 A 151.101.193.143 A 151.101.129.143 A 151.101.1.143 OPT"
"33","10.648516537","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"34","10.648989774","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"35","11.468499887","0.0.0.0","255.255.255.255","DHCP","333","DHCP Discover - Transaction ID 0xd22689bd"
"36","11.673168286","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"37","11.673168860","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"38","12.697232815","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"39","12.697233323","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"40","13.516144574","AzureWaveTec_7b:bd:1a","Broadcast","XID","20","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"41","13.517222891","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xfd5c7bf8"
"42","13.722093265","fe80::9683:c4ff:fe22:da08","ff02::1","ICMPv6","286","Router Advertisement from 94:83:c4:22:da:08"
"43","13.725083250","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"44","13.819541987","0.0.0.0","255.255.255.255","DHCP","329","DHCP Discover - Transaction ID 0xea2e92e7"
"45","14.315268357","fe80::84c6:4b18:4f3:b8da","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"46","14.747543011","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"47","14.747543510","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"48","14.950993893","fe80::245c:5331:5a61:fc95","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::245c:5331:5a61:fc95 (ovr) is at 28:d0:43:7b:bd:1a"
"49","15.780805246","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188c"
"50","15.780823749","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"51","15.780824189","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"52","16.803309555","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"53","17.008063399","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daaccb"
"54","17.416495613","2a0d:3344:18fa:4916:688c:a7d2:a2e1:101e","ff02::1","ICMPv6","86","Neighbor Advertisement 2a0d:3344:18fa:4916:688c:a7d2:a2e1:101e (ovr) is at 28:d0:43:7b:bd:1a"
"55","17.416496520","fd4e:c6e4:ca93:2:610b:91ee:a67d:18a5","ff02::1","ICMPv6","86","Neighbor Advertisement fd4e:c6e4:ca93:2:610b:91ee:a67d:18a5 (ovr) is at 28:d0:43:7b:bd:1a"
"56","17.825906341","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
