"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"2","0.393787606","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fdcc:1705:6306:16::1","DNS","98","Standard query 0xf6e1 AAAA ping.archlinux.org"
"3","0.398125152","fdcc:1705:6306:16::1","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","DNS","162","Standard query response 0xf6e1 AAAA ping.archlinux.org CNAME redirect.archlinux.org AAAA 2a01:4f9:c010:2636::1"
"4","0.398741377","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a01:4f9:c010:2636::1","TCP","94","36274  >  80 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM TSval=4132427492 TSecr=0 WS=1024"
"5","0.410381481","0.0.0.0","255.255.255.255","DHCP","326","DHCP Discover - Transaction ID 0xb71d7449"
"6","0.486556098","2a01:4f9:c010:2636::1","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","94","80  >  36274 [SYN, ACK] Seq=0 Ack=1 Win=64260 Len=0 MSS=1360 SACK_PERM TSval=2935997274 TSecr=4132427492 WS=512"
"7","0.486614309","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a01:4f9:c010:2636::1","TCP","86","36274  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=4132427580 TSecr=2935997274"
"8","0.486804710","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a01:4f9:c010:2636::1","HTTP","174","GET /nm-check.txt HTTP/1.1 "
"9","0.579140788","2a01:4f9:c010:2636::1","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","80  >  36274 [ACK] Seq=1 Ack=89 Win=64512 Len=0 TSval=2935997368 TSecr=4132427580"
"10","0.580948148","2a01:4f9:c010:2636::1","2a0d:3344:18fa:4916:f109:b90c:1660:710d","HTTP","290","HTTP/1.1 200 OK  (text/plain)"
"11","0.580948598","2a01:4f9:c010:2636::1","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","80  >  36274 [FIN, ACK] Seq=205 Ack=89 Win=64512 Len=0 TSval=2935997369 TSecr=4132427580"
"12","0.580984750","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a01:4f9:c010:2636::1","TCP","86","36274  >  80 [ACK] Seq=89 Ack=205 Win=65536 Len=0 TSval=4132427675 TSecr=2935997369"
"13","0.581170403","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a01:4f9:c010:2636::1","TCP","86","36274  >  80 [FIN, ACK] Seq=89 Ack=206 Win=65536 Len=0 TSval=4132427675 TSecr=2935997369"
"14","0.654084302","2a01:4f9:c010:2636::1","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","80  >  36274 [ACK] Seq=206 Ack=90 Win=64512 Len=0 TSval=2935997444 TSecr=4132427675"
"15","1.435573913","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"16","1.435577859","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daacca"
"17","2.459696296","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"18","2.868991053","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"19","3.482747666","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"20","3.893307909","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"21","4.918198261","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"22","5.120975845","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x230c0b4d"
"23","5.533207886","fe80::9683:c4ff:fe22:da08","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","ICMPv6","86","Neighbor Solicitation for fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6 from 94:83:c4:22:da:08"
"24","5.533252591","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","fe80::9683:c4ff:fe22:da08","ICMPv6","78","Neighbor Advertisement fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6 (sol)"
"25","5.664062275","fe80::84c6:4b18:4f3:b8da","fdcc:1705:6306:16::1","ICMPv6","86","Neighbor Solicitation for fdcc:1705:6306:16::1 from dc:41:a9:fd:55:8e"
"26","5.667886419","fdcc:1705:6306:16::1","fe80::84c6:4b18:4f3:b8da","ICMPv6","78","Neighbor Advertisement fdcc:1705:6306:16::1 (rtr, sol)"
"27","6.107496856","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","174","Application Data"
"28","6.153148826","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  52474 [ACK] Seq=1 Ack=89 Win=19 Len=0 TSval=2285601185 TSecr=1477126852"
