"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","CloudNetwork_e2:9d:7d","Broadcast","XID","20","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.000023980","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x92a7f2ff"
"3","0.102822885","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:400c:c06::5e","TCP","86","40082  >  80 [FIN, ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2702374625 TSecr=800585336"
"4","0.142628385","2a00:1450:400c:c06::5e","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","80  >  40082 [FIN, ACK] Seq=1 Ack=2 Win=1055 Len=0 TSval=800590434 TSecr=2702374625"
"5","0.142673863","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:400c:c06::5e","TCP","86","40082  >  80 [ACK] Seq=2 Ack=2 Win=64 Len=0 TSval=2702374664 TSecr=800590434"
"6","0.406999153","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"7","1.021157513","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa436"
"8","1.430635311","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"9","1.939033560","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"10","2.250685895","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0xec03fa9c"
"11","2.468723554","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"12","2.963715379","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"13","3.392419405","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","110","Application Data"
"14","3.392466365","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TCP","86","52474  >  443 [ACK] Seq=1 Ack=25 Win=63 Len=0 TSval=1477330377 TSecr=2285804539"
"15","3.392712850","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","114","Application Data"
"16","3.478900902","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  52474 [ACK] Seq=25 Ack=29 Win=19 Len=0 TSval=2285804752 TSecr=1477330377"
"17","3.684346953","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"18","3.685878493","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"19","3.889864816","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"20","3.890117295","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"21","4.093094170","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xf1d7ae96"
"22","4.506665322","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"23","4.506665812","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"24","4.913574224","0.0.0.0","255.255.255.255","DHCP","326","DHCP Discover - Transaction ID 0x4ada3de0"
"25","4.913600017","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"26","5.322466937","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"27","5.322467441","169.254.31.108","169.254.255.255","NBNS","92","Name query NB WPAD<00>"
"28","5.375981430","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:400c:c06::5e","TCP","86","40068  >  80 [ACK] Seq=1 Ack=1 Win=60 Len=0 TSval=2702379898 TSecr=4093642193"
"29","5.427665322","2a00:1450:400c:c06::5e","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","[TCP ACKed unseen segment] 80  >  40068 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=4093652260 TSecr=2702369883"
"30","5.756307190","0.0.0.0","255.255.255.255","DHCP","329","DHCP Discover - Transaction ID 0x927deb82"
"31","5.937626709","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"32","6.551831772","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x2289ccd8"
"33","6.960654898","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188d"
"34","7.166764849","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"35","7.985492478","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa7daaccc"
"36","8.190866072","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"37","8.319978842","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","TCP","86","57780  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=4279168946 TSecr=1863546508"
"38","8.320029373","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2600:1901:0:38d7::","TCP","86","57764  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=4279168946 TSecr=2804062145"
"39","8.367144766","2600:1901:0:38d7::","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","[TCP ACKed unseen segment] 80  >  57780 [ACK] Seq=1 Ack=2 Win=1053 Len=0 TSval=1863556751 TSecr=4279128193"
"40","8.370009649","2600:1901:0:38d7::","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","[TCP ACKed unseen segment] 80  >  57764 [ACK] Seq=1 Ack=2 Win=1054 Len=0 TSval=2804072375 TSecr=4279128093"
"41","9.215903658","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"42","9.343811148","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:400c:c06::5e","TCP","86","40058  >  80 [ACK] Seq=1 Ack=1 Win=59 Len=0 TSval=2702383866 TSecr=3122407614"
"43","9.391187338","2a00:1450:400c:c06::5e","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","[TCP ACKed unseen segment] 80  >  40058 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=3122417896 TSecr=2702373631"
"44","10.236997851","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"45","10.852134881","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x2a2ef2d0"
"46","11.260918198","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"47","11.261349774","169.254.134.246","169.254.255.255","UDP","86","57621  >  57621 Len=44"
"48","11.671697273","0.0.0.0","255.255.255.255","DHCP","347","DHCP Discover - Transaction ID 0xa77ecfa5"
"49","11.877639039","0.0.0.0","255.255.255.255","DHCP","331","DHCP Discover - Transaction ID 0x838b5873"
